region,date,new_cases_7d_100k,new_tests_7d_100k,dose1_fraction,dose2_fraction
north west,2021-02-18,159.59252416091329,3245.4929687206277,0.28,0.011000000000000001
yorkshire and the humber,2021-02-18,153.5535284874505,3179.902768815441,0.27,0.011000000000000001
east midlands,2021-02-18,177.07046093324797,3177.2391979367762,0.27399999999999997,0.006
west midlands,2021-02-18,163.96931802076733,3254.1084593843957,0.273,0.009000000000000001
east of england,2021-02-18,102.21177690058742,3242.7303597521004,0.276,0.01
london,2021-02-18,86.65382280987211,2785.84098084885,0.17600000000000002,0.006999999999999999
south east,2021-02-18,84.22238050007242,3057.924449389271,0.272,0.011000000000000001
south west,2021-02-18,74.40402112398607,3836.9540327157238,0.307,0.011000000000000001
north east,2021-02-19,150.60257885848412,3042.426780217241,0.293,0.011000000000000001
north west,2021-02-19,155.3697789842418,3142.689556306629,0.28600000000000003,0.011000000000000001
yorkshire and the humber,2021-02-19,154.09868894361898,3145.33959589436,0.276,0.011000000000000001
east midlands,2021-02-19,173.53442813871504,3134.6620545219034,0.281,0.006
west midlands,2021-02-19,160.34615220633103,3149.104058501826,0.278,0.009000000000000001
east of england,2021-02-19,98.05852145388957,3155.5921740480226,0.281,0.01
london,2021-02-19,83.92124488252581,2758.415229212191,0.18100000000000002,0.006999999999999999
south east,2021-02-19,81.4449839513131,3010.307287465425,0.278,0.011000000000000001
south west,2021-02-19,71.36385681999525,3666.2603632267414,0.313,0.011000000000000001
north east,2021-02-20,145.28410927432478,2981.751282144437,0.299,0.011000000000000001
north west,2021-02-20,154.1165771898748,3115.3915520032433,0.29100000000000004,0.011000000000000001
yorkshire and the humber,2021-02-20,154.57116133896497,3052.644146330516,0.28300000000000003,0.011000000000000001
east midlands,2021-02-20,171.0736801705898,3063.1969706745017,0.287,0.006
west midlands,2021-02-20,157.8857698393185,3056.822867804835,0.28300000000000003,0.009000000000000001
east of england,2021-02-20,96.39080498108424,3267.8583569913885,0.287,0.01
